Date,Company Name,Ticker,Open,High,Low,Close,Volume
02-01-2023,Apple,AAPL,174.9080238,193.9223099,160.2681449,180.4154963,36788921
03-01-2023,Apple,AAPL,131.1989041,132.3605763,113.8753812,124.9871095,36788922
04-01-2023,Apple,AAPL,230.1776946,231.3059262,215.7377191,230.349302,36788923
05-01-2023,Apple,AAPL,136.3649934,140.0330836,130.2801486,135.398064,36788924
06-01-2023,Apple,AAPL,204.9549321,212.9521515,204.0216188,212.7177743,36788925
09-01-2023,Apple,AAPL,191.2139968,206.9175161,187.2205212,197.3493943,36788926
10-01-2023,Apple,AAPL,271.9880813,285.5942321,262.9780963,263.2780985,36788927
11-01-2023,Apple,AAPL,293.1264066,309.2943536,287.0341312,289.2083342,36788928
12-01-2023,Apple,AAPL,188.0304987,190.4712634,178.1269605,178.5514629,36788929
13-01-2023,Apple,AAPL,178.2121215,181.8568433,163.1048933,171.077395,36788930
16-01-2023,Apple,AAPL,209.3420559,213.039145,189.9503633,207.8472358,36788931
17-01-2023,Apple,AAPL,179.0300472,197.5632245,164.4846073,175.2861244,36788932
18-01-2023,Apple,AAPL,139.1965725,140.1011183,132.6899659,135.5705125,36788933
19-01-2023,Apple,AAPL,207.9384265,219.6734498,188.6333203,207.475742,36788934
20-01-2023,Apple,AAPL,159.2547011,162.5600399,158.941973,160.4738679,36788935
23-01-2023,Apple,AAPL,139.7431363,139.8535786,123.4339077,135.0402727,36788936
24-01-2023,Apple,AAPL,258.0351081,270.1543076,239.5090905,259.4614873,36788937
25-01-2023,Apple,AAPL,272.6206852,285.0866477,266.0027247,267.2156673,55079037
26-01-2023,Apple,AAPL,165.0366644,179.628788,152.285515,176.5448152,15881728
27-01-2023,Apple,AAPL,176.585375,196.0196169,159.6070985,185.8870879,75023414
30-01-2023,Apple,AAPL,254.193436,264.0693479,243.7387794,252.4309314,8887739
31-01-2023,Apple,AAPL,121.5782854,122.2068691,108.8500772,113.0488646,37810847
01-02-2023,Apple,AAPL,239.1032173,241.8898464,227.0148697,235.0449933,67834972
02-02-2023,Apple,AAPL,145.7596331,147.2992313,139.964604,141.1471021,62777469
03-02-2023,Apple,AAPL,226.6807513,244.1099631,210.6073098,216.8579018,76415325
06-02-2023,Apple,AAPL,276.6560518,283.1429522,274.2142927,277.3955548,3484413
07-02-2023,Apple,AAPL,122.0103849,126.5690882,113.4682291,124.1849253,73931048
08-02-2023,Apple,AAPL,160.9562516,164.2493687,150.2744632,157.0499163,22200096
09-02-2023,Apple,AAPL,123.9730735,130.7253769,105.1148794,113.3922673,81705119
10-02-2023,Apple,AAPL,211.6204004,219.6971238,210.3225555,212.7029029,8654909
